game_id,datetime,phase,opening_acc,first_move,game_no
80aee653c9484dd2ba32d4a3447ca2e0,2026-06-30 17:58:45+00:00,P4-autonomous-loop,96.0875,d4,159
ccbab071b8f14a6a80d482842182a536,2026-06-30 18:05:52+00:00,P4-autonomous-loop,96.0875,d4,160
275e881049ab43778fe063a85b3e18c9,2026-06-30 18:15:32+00:00,P4-autonomous-loop,97.0375,d4,161
95f7a9d5547d403e87275dbcbc86e46c,2026-06-30 18:24:02+00:00,P4-autonomous-loop,96.0875,d4,162
962f9da3032a4ef989ffa4173a2df710,2026-06-30 18:35:07+00:00,P4-autonomous-loop,96.0875,d4,163
93ca064185a440f788dcd95cb4174d2e,2026-06-30 18:42:07+00:00,P4-autonomous-loop,95.0375,d4,164
e819703ec8094205a5b0122f2337c164,2026-06-30 18:51:46+00:00,P4-autonomous-loop,95.0375,d4,165
3f477d4c0c8643d89b120364a0ca3f04,2026-06-30 19:01:25+00:00,P4-autonomous-loop,96.0875,d4,166
d05f80c735f84a1d86106f1f8188e241,2026-06-30 19:09:43+00:00,P4-autonomous-loop,96.0875,d4,167
ee558e997d1e4ffa9673c00924e4bd4d,2026-06-30 19:20:59+00:00,P4-autonomous-loop,96.0875,d4,168
606398dcccf044aa8543a3b41aae32c1,2026-07-01 07:21:10+00:00,P4-autonomous-loop,94.4625,d4,169
24151cebfca541b999e65441ed46bcba,2026-07-01 07:25:12+00:00,P4-autonomous-loop,94.3875,d4,170
e0c741770c8447d5909911059fd7fe5a,2026-07-01 07:28:27+00:00,P4-autonomous-loop,85.7875,d4,171
582e56ca46854793bab041e40a13d7d5,2026-07-01 07:31:46+00:00,P4-autonomous-loop,96.7375,d4,172
2f5af27804a64a2890d613af9df57294,2026-07-01 07:35:20+00:00,P4-autonomous-loop,93.85,d4,173
0b9008f0054a4f6cb52fcb1311f4b9d5,2026-07-01 07:38:25+00:00,P4-autonomous-loop,97.0,d4,174
5b49e26fc17f4d798bcb447d095b5146,2026-07-01 07:41:56+00:00,P4-autonomous-loop,95.9125,d4,175
4c2f4f839e1442a9a889ac5972b9b70c,2026-07-01 07:46:29+00:00,P4-autonomous-loop,94.325,d4,176
7ab62786c4274a97a8bf98f48616fd4c,2026-07-01 07:50:05+00:00,P4-autonomous-loop,95.6875,d4,177
3b77543fe7ad42bdbd19aa243d5d3d26,2026-07-01 07:53:13+00:00,P4-autonomous-loop,96.8875,d4,178
62e8d167c1ef4757bee66ac7d484fc6e,2026-07-01 07:56:01+00:00,P4-autonomous-loop,96.0875,d4,179
4632949634d84eec843e975ddd5bd35b,2026-07-01 07:58:58+00:00,P4-autonomous-loop,96.0875,d4,180
d778f70fb465440dbb55ec1e5648f3c2,2026-07-01 08:01:53+00:00,P4-autonomous-loop,96.0875,d4,181
0a7d3008e7894303bc655f57911e713a,2026-07-01 08:04:22+00:00,P4-autonomous-loop,96.0875,d4,182
8734ed467c614f28ac6b4c15d8d9456d,2026-07-01 08:07:35+00:00,P4-autonomous-loop,96.0875,d4,183
688888548c8747f78013c8e0c558e0a0,2026-07-01 08:10:34+00:00,P4-autonomous-loop,96.275,d4,184
a714896f690840b58ec6c833c80878f7,2026-07-01 08:13:56+00:00,P4-autonomous-loop,96.275,d4,185
e79e66e0dea6489d8674889bc92a2183,2026-07-01 08:17:17+00:00,P4-autonomous-loop,96.275,d4,186
79f72c70cd72461d8b7911fef7cad058,2026-07-01 08:20:32+00:00,P4-autonomous-loop,96.275,d4,187
fd4752c76e164b84be5d38c7f55e2dd9,2026-07-01 12:51:35+00:00,P4-autonomous-loop,94.4375,d4,188
56b9d42dba764b42abe926cd435290bc,2026-07-01 12:56:19+00:00,P4-autonomous-loop,94.775,d4,189
d06642985410452895427630a4d631cc,2026-07-01 13:00:16+00:00,P4-autonomous-loop,95.675,d4,190
2cda3f6965b0489196a80aae29277f57,2026-07-01 13:03:56+00:00,P4-autonomous-loop,96.45,d4,191
1cc512cec5434cbbb0f6d26940038935,2026-07-01 13:08:04+00:00,P4-autonomous-loop,93.95,d4,192
f99aa02fcdcc4ad5bdac617619e4ac20,2026-07-01 13:11:35+00:00,P4-autonomous-loop,96.4,d4,193
b6b58819d9694d449a47c88b4d57e29a,2026-07-01 13:14:36+00:00,P4-autonomous-loop,94.15,d4,194
396f648d9f3e4e0b8a4712b8bf7d8d7e,2026-07-01 13:18:02+00:00,P4-autonomous-loop,96.1125,d4,195
1705bcb5f7254be6b88c654fddeb366a,2026-07-01 13:21:13+00:00,P4-autonomous-loop,92.3125,d4,196
5166674ad94445fd992680f5503a9d73,2026-07-01 13:24:29+00:00,P4-autonomous-loop,93.05,d4,197
8918ba9c834d47b78ea478d5bdf62319,2026-07-01 13:27:25+00:00,P4-autonomous-loop,96.0875,d4,198
6cd5ec1750c943d6ac3e22e647624e2f,2026-07-01 13:30:07+00:00,P4-autonomous-loop,96.0875,d4,199
2e60598edc764022b852ce3596d726ab,2026-07-01 13:33:16+00:00,P4-autonomous-loop,96.0875,d4,200
c2c611e59dd342a9994ea0d7f4efe9ae,2026-07-01 13:36:20+00:00,P4-autonomous-loop,96.0875,d4,201
03029ef574c14d0f8be3b55023013753,2026-07-01 13:39:15+00:00,P4-autonomous-loop,96.0875,d4,202
45af4fa7c4a24c8f81019ac1ecc8c729,2026-07-01 13:42:27+00:00,P4-autonomous-loop,96.275,d4,203
1d259700639c43e3b7c2f6a73f730078,2026-07-01 13:48:48+00:00,P4-autonomous-loop,96.275,d4,204
0a9db1ea75fe47999636564b2c2f255e,2026-07-01 13:52:04+00:00,P4-autonomous-loop,96.275,d4,205
45a22e6a014e491ab80e2afdd744d9e5,2026-07-01 13:55:15+00:00,P4-autonomous-loop,96.275,d4,206
48f7fdbf2bb14783aad7a08e488119ad,2026-07-01 14:29:28+00:00,P4-autonomous-loop,96.575,d4,207
4706821b8c8c4e94ab653fa262c593ad,2026-07-01 14:33:10+00:00,P4-autonomous-loop,94.975,d4,208
ae6b318980234959b4de4e958c244a7c,2026-07-01 14:36:17+00:00,P4-autonomous-loop,94.8875,d4,209
b9515af4fb794804944aee0eb9c27947,2026-07-01 14:39:47+00:00,P4-autonomous-loop,94.6375,d4,210
5473224bbd184ab9af8009316b647874,2026-07-01 14:43:38+00:00,P4-autonomous-loop,94.225,d4,211
35326a7aaf544adfa4622175bb29e389,2026-07-01 14:47:15+00:00,P4-autonomous-loop,94.775,d4,212
b79a42802f144483984dcd2e37936e71,2026-07-01 14:50:40+00:00,P4-autonomous-loop,96.8875,d4,213
66a11719b81d4c588fa260a0556ca318,2026-07-01 14:53:54+00:00,P4-autonomous-loop,91.75,d4,214
0e165aa3fb4f4704a273995012f251b2,2026-07-01 14:57:06+00:00,P4-autonomous-loop,95.625,d4,215
270ccf3acc4940888bf19dcc64bb89f3,2026-07-01 15:00:58+00:00,P4-autonomous-loop,91.975,d4,216
82776745e79d4e29acd60c37210470b4,2026-07-01 15:04:06+00:00,P4-autonomous-loop,96.0875,d4,217
f83879ef816144398d8693263211096f,2026-07-01 15:07:02+00:00,P4-autonomous-loop,96.0875,d4,218
31d95a0598254ef5873f0cdfb95e05ad,2026-07-01 15:10:11+00:00,P4-autonomous-loop,96.0875,d4,219
da5019f0eef54f84b51eb73c9de64ade,2026-07-01 15:13:28+00:00,P4-autonomous-loop,96.0875,d4,220
af9ddc4f35e34c818a0fa5286bb2dc88,2026-07-01 15:16:31+00:00,P4-autonomous-loop,96.0875,d4,221
80087d6aff024464a400d56d57c38395,2026-07-01 15:20:02+00:00,P4-autonomous-loop,96.275,d4,222
4f7e802fa1654933b876859d69d088a4,2026-07-01 15:23:31+00:00,P4-autonomous-loop,96.275,d4,223
82d6a02aa2f84a519b6debbdcb1665f9,2026-07-01 15:26:42+00:00,P4-autonomous-loop,96.275,d4,224
60bb5ded89a144858f0a70061cdf7350,2026-07-01 15:30:08+00:00,P4-autonomous-loop,96.275,d4,225
e01ea0f921394e3ea8bd5d353873317b,2026-07-01 15:33:47+00:00,P4-autonomous-loop,96.275,d4,226
cee031de0c45408fabfc9a3ea107a9c4,2026-07-01 20:14:26+00:00,P4-autonomous-loop,95.425,d4,227
deea164d96aa4628a53eff20cc6824b3,2026-07-01 20:29:27+00:00,P4-autonomous-loop,81.475,d4,228
9cbc773d09644cd7baf7ec700b50838a,2026-07-01 20:39:47+00:00,P4-autonomous-loop,96.05,d4,229
c6d7caeb0bda4dd385d3a3b8c4a36fc1,2026-07-01 22:09:19+00:00,P4-autonomous-loop,96.3625,d4,230
d27e5d2fc9c74f5f99fa304680ee85be,2026-07-01 22:19:01+00:00,P4-autonomous-loop,88.1375,d4,231
ab59ad055a7a4450af5dc32830eb6742,2026-07-01 22:40:24+00:00,P4-autonomous-loop,95.925,d4,232
3edb8f0028c74256b0f88eb936378caa,2026-07-01 22:54:50+00:00,P4-autonomous-loop,92.4375,d4,233
72813a073b5248c09749661c9367a72c,2026-07-01 23:08:01+00:00,P4-autonomous-loop,89.275,d4,234
9af5c252368e455b8cf906ef511d500a,2026-07-01 23:24:16+00:00,P4-autonomous-loop,96.5625,d4,235
35e18d89c0fc4da191680e8df581969c,2026-07-01 23:33:00+00:00,P4-autonomous-loop,97.6,d4,236
